0.00 	0.000	-0.000
0.10	0.102	-0.120
0.20	0.246	-0.233
0.30	0.389	-0.346
0.40	0.541	-0.450
0.50	0.801	-0.565
0.60	1.148	-0.699
0.70	1.517	-0.850
0.80	1.850   -1.023
0.90	2.103	-1.196
1.00	2.294	-1.378
1.10	2.523	-1.613
1.20	2.844	-1.912
1.30	3.165	-2.264
1.40	3.496	-2.661
1.50	3.950	-3.215
1.60	4.308	-3.714
1.70	4.781	-4.354
1.80	4.776	-4.597
1.90	5.133	-5.158
2.00	5.319	-5.545
2.10	5.473	-5.896
2.20	5.709	-6.300
2.30	5.857	-6.611
2.40	5.992	-6.905
2.50	6.182	-7.243
2.60	6.323	-7.504
2.70	6.464	-7.765
2.80	6.606	-8.027
2.90	6.747	-8.288
3.00	6.888	-8.549
