# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.645046237203e-10       7.586006461559e-15       2.382561875249e-13       0.000000000000e+00       9.046338868540e-11       9.751315792227e-12      -8.351244164496e-15 
   41       1.668978696074e-10       8.234293961937e-15       2.286722632434e-13       0.000000000000e+00       8.598777924915e-11       9.311592848687e-12      -6.389559684246e-15 
   42       1.693007832666e-10       8.921239577700e-15       2.180548501090e-13       0.000000000000e+00       8.180192043366e-11       8.896431675780e-12      -5.644107547184e-15 
   43       1.717225129485e-10       9.646379548310e-15       2.062926219825e-13       0.000000000000e+00       7.789473295748e-11       8.506510737332e-12      -5.882708570636e-15 
   44       1.741701540498e-10       1.040892638794e-14       1.932520634825e-13       0.000000000000e+00       7.423783277226e-11       8.141179944565e-12      -6.802861950212e-15 
   45       1.766484084505e-10       1.120805238776e-14       1.787876062092e-13       0.000000000000e+00       7.079567611272e-11       7.798904355780e-12      -8.072937162661e-15 
   46       1.791590523272e-10       1.204388706442e-14       1.627792987774e-13       0.000000000000e+00       6.756285811799e-11       7.479022565562e-12      -9.481086368592e-15 
   47       1.817008680067e-10       1.291678479715e-14       1.451037655250e-13       0.000000000000e+00       6.453562140126e-11       7.180319749006e-12      -1.082316215042e-14 
   48       1.842694542134e-10       1.382704578262e-14       1.256226477220e-13       0.000000000000e+00       6.170060568930e-11       6.900435463679e-12      -1.185903202381e-14 
   49       1.868569619997e-10       1.477491401731e-14       1.041817285296e-13       0.000000000000e+00       5.903413367141e-11       6.635781581341e-12      -1.231069097738e-14 
   50       1.894553089916e-10       1.576058617825e-14       8.065349215206e-14       0.000000000000e+00       5.650934388432e-11       6.382582569339e-12      -1.195046307703e-14 
   51       1.920674633225e-10       1.678424578779e-14       5.508045031648e-14       0.000000000000e+00       5.412152872039e-11       6.140519623290e-12      -1.089820970032e-14 
   52       1.946987661360e-10       1.784603483491e-14       2.756920758412e-14       0.000000000000e+00       5.186843968143e-11       5.909933832954e-12      -9.401532526820e-15 
   53       1.973536229687e-10       1.894604221835e-14      -1.748431383787e-15       0.000000000000e+00       4.974270476327e-11       5.690761727860e-12      -7.755031649447e-15 
   54       2.000354033671e-10       2.008430224179e-14      -3.271429290482e-14       0.000000000000e+00       4.773148357699e-11       5.482506025473e-12      -6.302657599579e-15 
   55       2.027464829926e-10       2.126081020770e-14      -6.518232761008e-14       0.000000000000e+00       4.582038616757e-11       5.284465638824e-12      -5.357167494906e-15 
   56       2.054886121571e-10       2.247557718214e-14      -9.914796640164e-14       0.000000000000e+00       4.400715957570e-11       5.096559623986e-12      -4.929674268542e-15 
   57       2.082624630100e-10       2.372858619900e-14      -1.346488518346e-13       0.000000000000e+00       4.229079722951e-11       4.918656681954e-12      -4.937031419040e-15 
   58       2.110674023016e-10       2.501977553312e-14      -1.717283594863e-13       0.000000000000e+00       4.066739826763e-11       4.750315098552e-12      -5.277983897616e-15 
   59       2.139013965516e-10       2.634903786167e-14      -2.104359743175e-13       0.000000000000e+00       3.912998877848e-11       4.590763593617e-12      -5.832290423738e-15 
   60       2.167609172166e-10       2.771621942564e-14      -2.508276670344e-13       0.000000000000e+00       3.766834303962e-11       4.438882170183e-12      -6.459845800719e-15 
   61       2.196424299316e-10       2.912106328147e-14      -2.929544269563e-13       0.000000000000e+00       3.627182359130e-11       4.293505519641e-12      -7.029627722320e-15 
   62       2.225474673929e-10       3.056302606838e-14      -3.368240014080e-13       0.000000000000e+00       3.493905080392e-11       4.154456143703e-12      -7.516115378711e-15 
   63       2.254785320393e-10       3.204141843729e-14      -3.824311970997e-13       0.000000000000e+00       3.367009641236e-11       4.021710199643e-12      -7.923054068155e-15 
   64       2.284375687678e-10       3.355545477046e-14      -4.297689663636e-13       0.000000000000e+00       3.246357487350e-11       3.895086667445e-12      -8.255607719031e-15 
