# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043532371e-10       7.653263647844e-15       2.380572485046e-13       6.776159281025e-17       9.046338868540e-11       9.751315792227e-12      -8.351244164496e-15 
   41       1.670017822184e-10       8.304886767523e-15       2.284586264250e-13       7.119228961432e-17       8.598777924915e-11       9.311592848687e-12      -6.389559684246e-15 
   42       1.694089273316e-10       8.995242772917e-15       2.178260465103e-13       7.471055006783e-17       8.180192043366e-11       8.896431675780e-12      -5.644107547184e-15 
   43       1.718349340237e-10       9.723866982260e-15       2.060482358662e-13       7.831659271140e-17       7.789473295748e-11       8.506510737332e-12      -5.882708570636e-15 
   44       1.742868947855e-10       1.048997092632e-14       1.929917406146e-13       8.201063377334e-17       7.423783277226e-11       8.141179944565e-12      -6.802861950212e-15 
   45       1.767695086441e-10       1.129272580014e-14       1.785110624304e-13       8.579285002942e-17       7.079567611272e-11       7.798904355780e-12      -8.072937162661e-15 
   46       1.792845495179e-10       1.213225974615e-14       1.624863287259e-13       8.966325517066e-17       6.756285811799e-11       7.479022565562e-12      -9.481086368592e-15 
   47       1.818307976778e-10       1.300892560412e-14       1.447942518988e-13       9.362178573131e-17       6.453562140126e-11       7.180319749006e-12      -1.082316215042e-14 
   48       1.844038498464e-10       1.392302190591e-14       1.252965709786e-13       9.766833209917e-17       6.170060568930e-11       6.900435463679e-12      -1.185903202381e-14 
   49       1.869958551299e-10       1.487479085326e-14       1.038391769623e-13       1.018027359650e-16       5.903413367141e-11       6.635781581341e-12      -1.231069097738e-14 
   50       1.895987293291e-10       1.586442717785e-14       8.029466933349e-14       1.060247843036e-16       5.650934388432e-11       6.382582569339e-12      -1.195046307703e-14 
   51       1.922154390847e-10       1.689211224822e-14       5.470567293228e-14       1.103341953089e-16       5.412152872039e-11       6.140519623290e-12      -1.089820970032e-14 
   52       1.948513242288e-10       1.795798572525e-14       2.717891091770e-14       1.147306242324e-16       5.186843968143e-11       5.909933832954e-12      -9.401532526820e-15 
   53       1.975107891144e-10       1.906213401464e-14      -2.153684957860e-15       1.192136638679e-16       4.974270476327e-11       5.690761727860e-12      -7.755031649447e-15 
   54       2.001972022365e-10       2.020458875682e-14      -3.313380519317e-14       1.237828418384e-16       4.773148357699e-11       5.482506025473e-12      -6.302657599579e-15 
   55       2.029129381825e-10       2.138534248915e-14      -6.561526146103e-14       1.284376728048e-16       4.582038616757e-11       5.284465638824e-12      -5.357167494906e-15 
   56       2.056597456466e-10       2.260440364839e-14      -9.959336149245e-14       1.331778365003e-16       4.400715957570e-11       5.096559623986e-12      -4.929674268542e-15 
   57       2.084382950168e-10       2.386175258690e-14      -1.351056258235e-13       1.380030391703e-16       4.229079722951e-11       4.918656681954e-12      -4.937031419040e-15 
   58       2.112479512855e-10       2.515732477468e-14      -1.721953037466e-13       1.429129619625e-16       4.066739826763e-11       4.750315098552e-12      -5.277983897616e-15 
   59       2.140866792153e-10       2.649100995825e-14      -2.109117496648e-13       1.479072603534e-16       3.912998877848e-11       4.590763593617e-12      -5.832290423738e-15 
   60       2.169509485062e-10       2.786265131959e-14      -2.513107994457e-13       1.529855635739e-16       3.766834303962e-11       4.438882170183e-12      -6.459845800719e-15 
   61       2.198372227700e-10       2.927198889708e-14      -2.934433077424e-13       1.581475528263e-16       3.627182359130e-11       4.293505519641e-12      -7.029627722320e-15 
   62       2.227470315472e-10       3.071847691071e-14      -3.373169019292e-13       1.633932177483e-16       3.493905080392e-11       4.154456143703e-12      -7.516115378711e-15 
   63       2.256828736563e-10       3.220142375446e-14      -3.829262722041e-13       1.687226567588e-16       3.367009641236e-11       4.021710199643e-12      -7.923054068155e-15 
   64       2.286466901479e-10       3.372004155810e-14      -4.302642537845e-13       1.741360052348e-16       3.246357487350e-11       3.895086667445e-12      -8.255607719031e-15 
   65       2.316398197239e-10       3.527344357759e-14      -4.793218276182e-13       1.796334374371e-16       3.131656039079e-11       3.774238433451e-12      -8.520427513975e-15 
